,geometry,Node,pointgeo,x,y,osmid,IsCentroid
37,POINT (105.6479722353069 20.12445649510284),62,POINT (105.6479722353069 20.12445649510284),105.647972235,20.1244564951,37,0
38,POINT (105.6728255035191 20.1541888195897),71,POINT (105.6728255035191 20.1541888195897),105.672825504,20.1541888196,38,0
39,POINT (105.6815639660091 20.13630000828569),130,POINT (105.6815639660091 20.13630000828569),105.681563966,20.1363000083,39,0
40,POINT (105.6645162657794 20.23310847962908),73,POINT (105.6645162657794 20.23310847962908),105.664516266,20.2331084796,40,0
41,POINT (105.6624431161103 20.1632240555193),75,POINT (105.6624431161103 20.1632240555193),105.662443116,20.1632240555,41,0
42,POINT (105.662567295373 20.16317633764751),76,POINT (105.662567295373 20.16317633764751),105.662567295,20.1631763376,42,0
43,POINT (105.6663993503512 20.12864599379914),78,POINT (105.6663993503512 20.12864599379914),105.66639935,20.1286459938,43,1
44,POINT (105.6684321521518 20.13069433523892),82,POINT (105.6684321521518 20.13069433523892),105.668432152,20.1306943352,44,0
45,POINT (105.6693661104915 20.12925680363876),83,POINT (105.6693661104915 20.12925680363876),105.66936611,20.1292568036,45,0
46,POINT (105.6685907240608 20.12511700197963),80,POINT (105.6685907240608 20.12511700197963),105.668590724,20.125117002,46,0
47,POINT (105.6693873062571 20.12848846970757),86,POINT (105.6693873062571 20.12848846970757),105.669387306,20.1284884697,47,0
48,POINT (105.6700020262382 20.12729318704908),88,POINT (105.6700020262382 20.12729318704908),105.670002026,20.127293187,48,0
49,POINT (105.6744286086752 20.13048431902167),101,POINT (105.6744286086752 20.13048431902167),105.674428609,20.130484319,49,0
50,POINT (105.6705229161885 20.17698285971585),93,POINT (105.6705229161885 20.17698285971585),105.670522916,20.1769828597,50,0
51,POINT (105.6716953049104 20.17629963915975),94,POINT (105.6716953049104 20.17629963915975),105.671695305,20.1762996392,51,0
52,POINT (105.6704991910755 20.17301549416585),92,POINT (105.6704991910755 20.17301549416585),105.670499191,20.1730154942,52,0
53,POINT (105.6714682807139 20.19880660368274),96,POINT (105.6714682807139 20.19880660368274),105.671468281,20.1988066037,53,1
54,POINT (105.7076725384807 20.1664459675531),98,POINT (105.7076725384807 20.1664459675531),105.707672538,20.1664459676,54,0
55,POINT (105.6897195447965 20.15958589190219),138,POINT (105.6897195447965 20.15958589190219),105.689719545,20.1595858919,55,0
56,POINT (105.6728119169899 20.12022309508256),100,POINT (105.6728119169899 20.12022309508256),105.672811917,20.1202230951,56,0
57,POINT (105.6776323802965 20.13413561483883),117,POINT (105.6776323802965 20.13413561483883),105.67763238,20.1341356148,57,0
58,POINT (105.675329188734 20.12984531453005),104,POINT (105.675329188734 20.12984531453005),105.675329189,20.1298453145,58,0
59,POINT (105.6781896686794 20.12820104661365),106,POINT (105.6781896686794 20.12820104661365),105.678189669,20.1282010466,59,0
60,POINT (105.6762374442213 20.11569508334465),111,POINT (105.6762374442213 20.11569508334465),105.676237444,20.1156950833,60,0
61,POINT (105.68702702557 20.12275415350548),127,POINT (105.68702702557 20.12275415350548),105.687027026,20.1227541535,61,0
62,POINT (105.6764940499977 20.11298760431586),108,POINT (105.6764940499977 20.11298760431586),105.67649405,20.1129876043,62,1
63,POINT (105.6769172371074 20.08436375680861),114,POINT (105.6769172371074 20.08436375680861),105.676917237,20.0843637568,63,1
64,POINT (105.6802078450029 20.09152109919539),122,POINT (105.6802078450029 20.09152109919539),105.680207845,20.0915210992,64,0
65,POINT (105.6766150034559 20.11354610447815),113,POINT (105.6766150034559 20.11354610447815),105.676615003,20.1135461045,65,0
66,POINT (105.6769989008157 20.13928380454013),115,POINT (105.6769989008157 20.13928380454013),105.676998901,20.1392838045,66,0
67,POINT (105.6814626214706 20.13606679335882),128,POINT (105.6814626214706 20.13606679335882),105.681462621,20.1360667934,67,0
68,POINT (105.6782996290031 20.07604857000454),118,POINT (105.6782996290031 20.07604857000454),105.678299629,20.07604857,68,0
69,POINT (105.6844278521313 20.08564846581007),125,POINT (105.6844278521313 20.08564846581007),105.684427852,20.0856484658,69,0
70,POINT (105.6784595470161 20.13381826424419),119,POINT (105.6784595470161 20.13381826424419),105.678459547,20.1338182642,70,0
71,POINT (105.6787628330081 20.13217794085414),120,POINT (105.6787628330081 20.13217794085414),105.678762833,20.1321779409,71,0
72,POINT (105.678873346617 20.13391875871902),121,POINT (105.678873346617 20.13391875871902),105.678873347,20.1339187587,72,0
73,POINT (105.6834428283129 20.07290573486814),131,POINT (105.6834428283129 20.07290573486814),105.683442828,20.0729057349,73,0
74,POINT (105.6840402109208 20.13786609816816),132,POINT (105.6840402109208 20.13786609816816),105.684040211,20.1378660982,74,0
75,POINT (105.6872494981428 20.14590566864293),137,POINT (105.6872494981428 20.14590566864293),105.687249498,20.1459056686,75,0
76,POINT (105.7269122697196 20.14615679119478),140,POINT (105.7269122697196 20.14615679119478),105.72691227,20.1461567912,76,0
77,POINT (105.6918878723048 20.08336622278819),133,POINT (105.6918878723048 20.08336622278819),105.691887872,20.0833662228,77,0
78,POINT (105.687175777448 20.13267149484615),135,POINT (105.687175777448 20.13267149484615),105.687175777,20.1326714948,78,0
79,POINT (105.6908755158544 20.16311518877209),142,POINT (105.6908755158544 20.16311518877209),105.690875516,20.1631151888,79,0
80,POINT (105.6920234810588 20.08322559954268),143,POINT (105.6920234810588 20.08322559954268),105.692023481,20.0832255995,80,0
81,POINT (105.7062449226831 20.12001642608095),145,POINT (105.7062449226831 20.12001642608095),105.706244923,20.1200164261,81,0
82,POINT (105.7135529961735 20.1107794939919),147,POINT (105.7135529961735 20.1107794939919),105.713552996,20.110779494,82,0
83,POINT (105.759175364788 20.11115139643676),156,POINT (105.759175364788 20.11115139643676),105.759175365,20.1111513964,83,0
