,geometry,Node,pointgeo,x,y,osmid,IsCentroid
112,POINT (105.6850552490623 19.98842922103003),196,POINT (105.6850552490623 19.98842922103003),105.685055249,19.988429221,112,0
113,POINT (105.7102817282067 19.99211227805794),204,POINT (105.7102817282067 19.99211227805794),105.710281728,19.9921122781,113,0
114,POINT (105.7143191470898 19.98951079392516),209,POINT (105.7143191470898 19.98951079392516),105.714319147,19.9895107939,114,1
115,POINT (105.6911645523554 19.96093670256766),201,POINT (105.6911645523554 19.96093670256766),105.691164552,19.9609367026,115,0
116,POINT (105.7055647595686 19.9434122056796),202,POINT (105.7055647595686 19.9434122056796),105.70556476,19.9434122057,116,0
117,POINT (105.710610888656 19.93548444142251),205,POINT (105.710610888656 19.93548444142251),105.710610889,19.9354844414,117,0
118,POINT (105.7262766683558 19.93752713418978),207,POINT (105.7262766683558 19.93752713418978),105.726276668,19.9375271342,118,1
119,POINT (105.7380567080002 19.95161396494415),211,POINT (105.7380567080002 19.95161396494415),105.738056708,19.9516139649,119,0
120,POINT (105.7371266904945 19.93577202216863),214,POINT (105.7371266904945 19.93577202216863),105.73712669,19.9357720222,120,0
121,POINT (105.7473441492898 19.9541446828723),216,POINT (105.7473441492898 19.9541446828723),105.747344149,19.9541446829,121,1
122,POINT (105.717731020415 19.99092946319904),210,POINT (105.717731020415 19.99092946319904),105.71773102,19.9909294632,122,0
123,POINT (105.7381966779854 19.95015937904335),215,POINT (105.7381966779854 19.95015937904335),105.738196678,19.950159379,123,0
124,POINT (105.5135394840097 20.0001360818148),219,POINT (105.5135394840097 20.0001360818148),105.513539484,20.0001360818,124,0
125,POINT (105.5218047854676 20.02217990953101),220,POINT (105.5218047854676 20.02217990953101),105.521804785,20.0221799095,125,1
126,POINT (105.5246241785949 20.0746299703249),224,POINT (105.5246241785949 20.0746299703249),105.524624179,20.0746299703,126,1
127,POINT (105.548912989122 20.03131032986797),228,POINT (105.548912989122 20.03131032986797),105.548912989,20.0313103299,127,0
128,POINT (105.5806614737165 20.04349926379046),232,POINT (105.5806614737165 20.04349926379046),105.580661474,20.0434992638,128,0
129,POINT (105.5474817565942 20.02870989531402),236,POINT (105.5474817565942 20.02870989531402),105.547481757,20.0287098953,129,0
130,POINT (105.5469150300363 20.01653822594639),237,POINT (105.5469150300363 20.01653822594639),105.54691503,20.0165382259,130,0
131,POINT (105.547506634554 19.99762335909012),239,POINT (105.547506634554 19.99762335909012),105.547506635,19.9976233591,131,1
132,POINT (105.5492966179619 20.0121282889411),240,POINT (105.5492966179619 20.0121282889411),105.549296618,20.0121282889,132,0
133,POINT (105.556282360014 20.00225345665674),241,POINT (105.556282360014 20.00225345665674),105.55628236,20.0022534567,133,0
134,POINT (105.5489512112478 20.02632999310831),242,POINT (105.5489512112478 20.02632999310831),105.548951211,20.0263299931,134,0
135,POINT (105.5627927372737 20.02064945206644),245,POINT (105.5627927372737 20.02064945206644),105.562792737,20.0206494521,135,0
136,POINT (105.554364462838 20.07482908651489),246,POINT (105.554364462838 20.07482908651489),105.554364463,20.0748290865,136,0
137,POINT (105.5527539595112 20.09208571105408),248,POINT (105.5527539595112 20.09208571105408),105.55275396,20.0920857111,137,1
138,POINT (105.5695442572712 20.00464302866772),250,POINT (105.5695442572712 20.00464302866772),105.569544257,20.0046430287,138,0
139,POINT (105.5800992051747 20.06044857195995),261,POINT (105.5800992051747 20.06044857195995),105.580099205,20.060448572,139,0
140,POINT (105.5636399337521 19.97550220315268),264,POINT (105.5636399337521 19.97550220315268),105.563639934,19.9755022032,140,0
141,POINT (105.5677625854078 19.96158969466276),266,POINT (105.5677625854078 19.96158969466276),105.567762585,19.9615896947,141,0
142,POINT (105.576588684819 19.97097977852778),267,POINT (105.576588684819 19.97097977852778),105.576588685,19.9709797785,142,0
143,POINT (105.570369452638 20.01468088638659),269,POINT (105.570369452638 20.01468088638659),105.570369453,20.0146808864,143,0
144,POINT (105.5717743429471 20.00972284086335),278,POINT (105.5717743429471 20.00972284086335),105.571774343,20.0097228409,144,0
145,POINT (105.5746650233671 19.99426510241217),280,POINT (105.5746650233671 19.99426510241217),105.574665023,19.9942651024,145,0
146,POINT (105.5698945340892 20.00157975973822),282,POINT (105.5698945340892 20.00157975973822),105.569894534,20.0015797597,146,0
147,POINT (105.5728187568329 20.03418783533866),283,POINT (105.5728187568329 20.03418783533866),105.572818757,20.0341878353,147,0
148,POINT (105.581583458059 20.01453182417285),287,POINT (105.581583458059 20.01453182417285),105.581583458,20.0145318242,148,0
149,POINT (105.5833417346175 19.97793986202301),290,POINT (105.5833417346175 19.97793986202301),105.583341735,19.977939862,149,0
150,POINT (105.5755897000857 20.00890682910028),292,POINT (105.5755897000857 20.00890682910028),105.5755897,20.0089068291,150,0
151,POINT (105.5730016543716 20.01016508766283),294,POINT (105.5730016543716 20.01016508766283),105.573001654,20.0101650877,151,1
152,POINT (105.575017923074 19.99554276237589),295,POINT (105.575017923074 19.99554276237589),105.575017923,19.9955427624,152,0
153,POINT (105.5730514923349 20.00817991327399),297,POINT (105.5730514923349 20.00817991327399),105.573051492,20.0081799133,153,0
154,POINT (105.5747050659888 20.03490387386333),298,POINT (105.5747050659888 20.03490387386333),105.574705066,20.0349038739,154,0
155,POINT (105.5803528838426 20.02640007472228),300,POINT (105.5803528838426 20.02640007472228),105.580352884,20.0264000747,155,0
156,POINT (105.5771796360299 20.01020516048134),301,POINT (105.5771796360299 20.01020516048134),105.577179636,20.0102051605,156,0
157,POINT (105.5833630774198 19.96516888957541),307,POINT (105.5833630774198 19.96516888957541),105.583363077,19.9651688896,157,0
158,POINT (105.5865041100458 19.96195051928388),308,POINT (105.5865041100458 19.96195051928388),105.58650411,19.9619505193,158,1
159,POINT (105.5910881516681 20.02066895747202),317,POINT (105.5910881516681 20.02066895747202),105.591088152,20.0206689575,159,0
